"HolderAddress","Balance","PendingBalanceUpdate"
"0x6996f78b690c6a84a1d0b075e3ba42a386a54d32","60029548.7633458","No"
"0x6492d357e2ab24c6db8b412a58145d6bac2aab32","35034441.234836","No"
"0x181db5c7693233c2c0aab56aa0867207b59001f7","26826135.4715229","No"
"0xce84f132d32b14153d69f643842acc82a757e8ea","20633554.0310953","No"
"0x43e65407d1000f225399692e45412058812e00d4","14351556.8777643","No"
"0x852a6b8f82d0aa55bac2628652b9ba7f18088c90","11617701.0372976","No"
"0xc7c1fbd1115710edfbec1c6fe57b825133ab41ee","1000000","No"
"0xe16e4a1e007a2391491ed0c4f373d1de551ea7a6","10263630.2560573","No"
"0x33a1d6e1b9894407e74dc4f950c5572dcda9b969","13355581.0572188","No"
"0x4b04213c2774f77e60702880654206b116d00508","8412414","No"
"0x9984a41acef46a13639cfab6120467fd5c68320f","8301535.03755323","No"
"0xef2fff6938fceb88f778ef7373a0135ae0421006","8012419.31410328","No"
"0xae21b7cc55865e0ac521245aef58545bcc7b0301","6285886","No"
"0xa9e3d073ab02f9b42284dec0f2cb6d67411cfb58","5672362.93436575","No"
"0xce8c8141bb0575ac14a2af40114fd65e50caa713","6183720.35552227","No"
"0xe65637635d3081763aa98d1049759b14eeb021af","6404450.75786887","No"
"0xe6fa1451903e584dacbf3f0bc928ad0cfce7003d","4566872.81119393","No"
"0x352448c72fb00d2362a57e037df9e75803ce7100","3566281.74791723","No"
"0x9fcb284a4f1234d3006c2b10918add717700aa5a","3147649.029642","No"
"0x60462f19e589681066311bfd7faa53dfa3f5b670","2890421","No"
"0x9741d06c45866f7e525f27e7d56e1b45764315be","2843538.73737371","No"
"0x868663c1f2e225f35485f47460f655952dd3b9cb","3236851.82330014","No"
"0x747fe01b5b28028b956600365e2832abf6d36b8c","2633221.84685433","No"
"0x9495b36d3b3009b6881667bbbb9dd7c4bb9cbf98","2589653.52786307","No"
"0xb44d8a64e83ae5ecf38bf96d08678e622633a8a6","2277416.97825534","No"
"0x4c4d3126c74dcbe5943bcee055a7425b88801f92","1820688.80189968","No"
"0x33a219a0922c9f8f0bb9698ab056acc650ecaf2d","2142069","No"
"0x182250b909ceeb6af8b18235e1b6700cdd444243","2077382.95","No"
"0x40ce5fceeeba45dc9b11123e90534cd9ca39174b","1803002","No"
"0x0e0f60155b94d29454d8eca95e623824a806ae95","4888956.49588398","No"
"0x2884fbee11d1d80c222da91633adee594ed440bb","1737309.04690048","No"
"0xde8db815ed1745fc76065811f0b1cfe792287910","1730000","No"
"0x419d632aea6ac23b8c892ce5e85fbb1ea1fca006","2804275.8006999","No"
"0x8af2ede531561e963153d55cadf596f86630cf32","9370237.44312437","No"
"0x6b2290691db47d2a566b8a9239b2257ae2958557","1604006.81634209","No"
"0x066a6d331d92497cd1875076dd6c0fbd1d912123","1602226.41342512","No"
"0x161e60afeaeb76b739ec4e21de1762ade7976e74","1568502.0626829","No"
"0x882f3d143272a2ec0143a3c80ce1928efcf66645","12136895.5804184","No"
"0x3c81819ad806387924ac74499e623ae0d91aea83","1544885.51612821","No"
"0x07ab9368722d6b9390d5eb4ed978ac3d856fb617","1522367.43717686","No"
"0x3093cf145cb375d8656a998466b4eab5c3f0a5ef","2678038.7542864","No"
"0x8575e59dacef47e763ab2a1dd6d39816ec553597","1475641.33843548","No"
"0x489171f4d099bec1e3c1e040e1d594c8448a50d1","1470005","No"
"0x5e9a1b485c2b8b1deb5475cf7856857222016780","1413123.8","No"
"0x44658349331cb9f613b2c20ba0660e33b556942d","904334.53189702","No"
"0x80611d6c1eafb0021a62cb0275b24cc38e8285a1","1402942.19746871","No"
